price,description,lien_produit,name,image_url,regular_price,discount,stock_availability,brand,category,offre,garantie
319.0,"Écran 14.1"" Full HD - Processeur Intel Atom x5-Z8350 Quad Core, up to 1.44GHz, 2Mo de cache - Mémoire 2Go - Stockage 32Go - Wifi - Bluetooth - Windows 10 - Couleur Gris - Garantie1 ans",https://www.tunisianet.com.tn/pc-portable-tunisie/30500-pc-portable-schneider-scl141ctp-quad-core-2-go-.html,Pc Portable Schneider SCL141CTP / Quad Core / 2 Go,https://www.tunisianet.com.tn/101029-home/pc-portable-schneider-scl141ctp-quad-core-2-go-.jpg,-1.0,0,En stock,SCHNEIDER,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",no offer,12
429.0,"Écran 14.1"" IPS Full HD - Processeur : Intel Celeron N3350 jusqu'à 2.4 GHz, 2 Mo de cache - Mémoire 4 Go - Disque Dur : 32 Go - Résolution: 1920 x 1080 pixels - Wifi - Bluetooth - Windows 10 - Couleur : Silver - Garantie1 an",https://www.tunisianet.com.tn/pc-portable-tunisie/72765-pc-portable-schneider-scl142alm-4go-32go.html,PC PORTABLE SCHNEIDER SCL142ALM /  4GO /  32GO,https://www.tunisianet.com.tn/354657-home/pc-portable-schneider-scl142alm-4go-32go.jpg,-1.0,0,En stock,SCHNEIDER,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",no offer,12
725.0,"‎Écran 15,6"" FHD (1 920 x 1 080 px) - Processeur AMD Athlon Silver 7120U, up to 3.5 Ghz, 3 Mo de cache - Mémoire 8 Go LPDDR5-4800 MHz - Disque SSD 256 Go M.2 PCIe 4.0 NVMe - Carte Graphique AMD Radeon 610M - 2x Haut-parleurs 1.5W - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi - Bluetooth 5.1 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x Ethernet (RJ-45) - 1xJack (3.5 mm) - Couleur Noir - Garantie1 an",https://www.tunisianet.com.tn/pc-portable-tunisie/66696-pc-portable-lenovo-v15-g4-amn-amd-dual-core-8-go.html,Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go,https://www.tunisianet.com.tn/315858-home/pc-portable-lenovo-v15-g4-amn-amd-dual-core-8-go.jpg,-1.0,0,En stock,Lenovo,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",no offer,12
729.0,"‎Écran 15,6"" FHD (1 920 x 1 080 px) - Processeur AMD Athlon Silver 7120U, up to 3.5 Ghz, 3 Mo de cache - Mémoire 8 Go LPDDR5-4800 MHz - Disque SSD 256 Go M.2 PCIe 4.0 NVMe - Carte Graphique AMD Radeon 610M - 2x Haut-parleurs 1.5W - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi - Bluetooth 5.1 - 2x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x Ethernet (RJ-45) - 1xJack (3.5 mm) - Couleur Noir - Garantie1 anAvec ",https://www.tunisianet.com.tn/pc-portable-tunisie/74185-pc-portable-lenovo-v15-g4-amn-amd-dual-core-8-go-avec-sacoche-offert.html,Pc Portable Lenovo V15 G4 AMN / AMD Dual Core / 8 Go Avec SACOCHE Offert,https://www.tunisianet.com.tn/362804-home/pc-portable-lenovo-v15-g4-amn-amd-dual-core-8-go-avec-sacoche-offert.jpg,-1.0,0,En stock,Lenovo,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",SACOCHE Offert,12
49.0,Design ergonomique - Beaucoup d'espace pour le charbon de bois - Facile à nettoyer - Design fonctionnel et résistant - Dimensions : 31 x 41x 28 cm - Dimensions Grille de Cuisson: 41 x 27cm - Couleursilver,https://www.tunisianet.com.tn/appareil-de-cuisson-convivial/65567-barbecue-au-charbon-pliable-swisscook-silver.html,Barbecue Au Charbon Pliable SWISSCOOK / Silver,https://www.tunisianet.com.tn/309160-home/barbecue-au-charbon-pliable-swisscook-silver.jpg,-1.0,0,En stock,SwissCook,"['Accueil', 'Electroménager', 'Petit Electro Cuisine', 'Appareil de cuisson / Convivial']",no offer,0
769.0,"Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to3.4 GHz,6 Mo de mémoire Cache - Mémoire4 Go - Disque SSD256 Go SSD M.2, PCIe NVMe - Carte Graphique IntelUHD Graphics - Wi-Fi 6 - Bluetooth 5.3 -Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11-Garantie 1 an",https://www.tunisianet.com.tn/pc-portable-tunisie/71161-pc-portable-hp-15-fd0029nk-intel-n100-4-go-windows-11-bleu.html,Pc Portable HP 15-fd0029nk / Intel N100 / 4 Go / Windows 11 / Bleu,https://www.tunisianet.com.tn/345186-home/pc-portable-hp-15-fd0029nk-intel-n100-4-go-windows-11-bleu.jpg,889.0,-120.0,En stock,HP,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",no offer,12
49.0,Barbecue Au Charbon Pliable SWISSCOOK - Design ergonomique - Beaucoup d'espace pour le charbon de bois - Facile à nettoyer - Design fonctionnel et résistant - Dimensions : 31 x 41x 28 cm - Dimensions Grille de Cuisson: 41 x 27cm - Couleur noir,https://www.tunisianet.com.tn/appareil-de-cuisson-convivial/65566-barbecue-au-charbon-pliable-swisscook-noir.html,Barbecue Au Charbon Pliable SWISSCOOK / Noir,https://www.tunisianet.com.tn/309175-home/barbecue-au-charbon-pliable-swisscook-noir.jpg,-1.0,0,En stock,SwissCook,"['Accueil', 'Electroménager', 'Petit Electro Cuisine', 'Appareil de cuisson / Convivial']",no offer,0
769.0,"Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to3.4 GHz,6 Mo de mémoire Cache - Mémoire4 Go - Disque SSD256 Go SSD M.2, PCIe NVMe - Carte Graphique IntelUHD Graphics - Wi-Fi 6 - Bluetooth 5.3 -Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11-Garantie 1 an",https://www.tunisianet.com.tn/pc-portable-tunisie/70386-pc-portable-hp-15-fd0030nk-4-go-windows-11-gris.html,Pc Portable HP 15-fd0030nk / 4 Go / Windows 11 / Gris,https://www.tunisianet.com.tn/339702-home/pc-portable-hp-15-fd0030nk-4-go-windows-11-gris.jpg,869.0,-100.0,En stock,HP,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",no offer,12
52.0,Puissance: 2200W - Capacité:1.7L-Pot détachable - Indicateur de niveau d'eau - - Arrêt automatique - Élément inox integer - Pieds antidérapants -Filtre amovible et lavable - Protection contre la surchauffe - Protection contre l'ébullition - Garantie 1 an,https://www.tunisianet.com.tn/appareil-de-cuisson-convivial/41816-bouilloire-kiwi-kk-3304-17l.html,Bouilloire kiwi kk-3304 / 1.7L,https://www.tunisianet.com.tn/193832-home/bouilloire-kiwi-kk-3304-17l.jpg,-1.0,0,En stock,Kiwi-home,"['Accueil', 'Electroménager', 'Petit Electro Cuisine', 'Appareil de cuisson / Convivial']",no offer,12
769.0,"Écran Full HD 15.6"" (1920 x 1080 px ), antireflet - Processeur Intel Celeron N100, up to3.4 GHz,6 Mo de mémoire Cache - Mémoire4 Go - Disque SSD256 Go SSD M.2, PCIe NVMe - Carte Graphique IntelUHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - CouleurGold - Windows 11-Garantie 1 an",https://www.tunisianet.com.tn/pc-portable-tunisie/70294-pc-portable-hp-15-fd0028nk-4-go-gold-windows-11.html,Pc Portable HP 15-FD0028NK / 4 Go / Gold / Windows 11,https://www.tunisianet.com.tn/339082-home/pc-portable-hp-15-fd0028nk-4-go-gold-windows-11.jpg,889.0,-120.0,En stock,HP,"['Accueil', 'Informatique', 'Ordinateur Portable', 'Pc Portable']",no offer,12
